-,109_hr783,400186,rep
+,111_hc163,400129,rep
+,110_h2563,400190,rep
+,101_h743,400100,rep
+,106_h1993,400176,rep
+,108_h923,400156,rep
0,108_hr153,400135,rep
+,102_h5373,400149,rep
+,111_h403,400118,rep
+,106_h833,400192,rep
-,110_h3773,400145,rep
+,108_hc13,400117,rep
+,106_h2723,400106,rep
-,105_hr193,400114,rep
+,108_s3,400121,rep
+,110_hr43,400115,rep
+,108_hc403,400107,rep
+,110_hc293,400163,rep
+,111_hc163,400103,rep
+,106_s2943,400103,rep
+,108_h273,400112,rep
+,110_hc203,400132,rep
+,102_h3033,400150,rep
+,109_hr803,400153,rep
+,110_hr1173,400186,rep
+,111_hr1743,400170,rep
-,109_h513,400145,rep
+,110_hr383,400178,rep
0,108_h3733,400105,rep
+,106_hc253,400102,rep
+,109_hc483,400180,rep
+,106_hr563,400150,rep
+,108_hr213,400122,rep
+,111_hr1513,400178,rep
0,108_s763,400197,rep
+,106_hr253,400174,rep
+,109_h2563,400191,rep
+,110_hr293,400176,rep
+,110_h3403,400100,rep
+,110_hr273,400185,rep
+,111_hr183,400145,rep
0,110_h5613,400125,rep
+,108_h5183,400102,rep
+,111_hr1613,400108,rep
+,108_hr473,400132,rep
-,110_hr683,400171,rep
+,110_hr663,400195,rep
+,108_s703,400181,rep
+,103_h2403,400161,rep
0,110_hr553,400102,rep
+,108_s273,400116,rep
-,111_hc93,400145,rep
+,110_hr933,400160,rep
+,106_h2723,400130,rep
+,109_hr333,400108,rep
0,105_s2133,400143,rep
+,109_hr523,400123,rep
-,108_hc393,400179,rep
+,108_h2143,400194,rep
+,110_hr293,400119,rep
+,111_h2423,400198,rep
+,109_h1053,400192,rep
+,108_h2673,400165,rep
+,111_h5133,400107,rep
+,111_s1963,400124,rep
+,108_hr453,400179,rep
+,106_s2323,400157,rep
0,110_hr663,400114,rep
+,108_h3493,400161,rep
+,106_s2943,400159,rep
+,106_h4733,400171,rep
+,108_sc43,400124,rep
+,108_s23,400199,rep
+,108_hr453,400147,rep
+,109_hr383,400118,rep
+,109_h5143,400144,rep
-,110_hr1253,400171,rep
0,111_h5133,400166,rep
+,110_h1873,400150,rep
+,108_h4613,400111,rep
+,111_h3293,400166,rep
+,110_hr573,400179,rep
+,108_hr423,400189,rep
-,102_h3543,400115,rep
+,105_hr463,400157,rep
+,110_h3,400189,rep
+,109_hr673,400142,rep
+,111_hr413,400142,rep
+,107_hr143,400135,rep
+,108_s23,400130,rep
+,108_hc413,400173,rep
+,108_hr453,400178,rep
+,105_h1663,400170,rep
-,108_h163,400180,rep
-,109_s403,400100,rep
+,108_h2993,400164,rep
-,110_h3093,400127,rep
0,110_hr943,400171,rep
+,108_h4323,400182,rep
+,109_h2563,400155,rep
+,109_h5683,400149,rep
+,106_h833,400197,rep
+,108_h4503,400180,rep
-,110_hr1253,400191,rep
+,110_s793,400172,rep
+,109_h6143,400155,rep
+,105_h2203,400157,rep
+,106_h3313,400124,rep
+,109_h4973,400190,rep
+,106_hc213,400146,rep
+,109_h3,400142,rep
